-1002352379315;6468229
-1001214137365;49798
-1001240453727;18843072
-1001422065635;8073489
-1002056233179;1969856
-1002201397124;775172
-1001342038661;485114
-1001166011868;2250497
-1001713773187;1769557
-1001641818631;32190
-1001961274740;28521
-1001274397277;4803067
-1001754252633;164950
-1002222981283;258599
-1001271343429;158841
-1001413275904;106311
-1001099860397;135345
-1001114353177;60752
-1001188860930;14678
-1001769001896;18673
-1001101170442;325866
-1001718023047;1439082
-1001058912111;184965
-1001487263633;4267867
-1001036240821;134223
-1002215996517;27012
-1001007302005;24674
-1001470294280;2741434
-1001262376932;75353
-1001084633267;3301
-1001769375081;5062
-1002829561399;1556
-1001900070089;14070
-1002436361727;14668
-1001649182626;6025
-1002602005934;592
-1001750716447;8799
